EmployeeID,Attrition_binary,Age,JobSatisfaction,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,MaritalStatus,NumCompaniesWorked,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Department,MonthlyIncome,PercentSalaryHike,children,Manager_relation_satisfaction
112,0,54,3,4,Life Sciences,4,Female,31,3,Single,3,3,20,4,2,4,3,0,3,Research & Development,4869,12,0,4
113,0,29,4,5,Other,2,Male,30,2,Single,0,3,4,2,3,3,2,2,2,Research & Development,3983,17,0,3
114,0,31,4,4,Medical,3,Female,39,3,Single,1,3,11,2,2,11,9,4,10,Research & Development,7143,14,0,3
115,0,35,2,4,Technical Degree,3,Male,62,3,Single,0,3,17,5,3,16,6,0,13,Research & Development,8095,13,0,4
116,0,41,2,3,Medical,4,Male,95,2,Single,6,3,8,3,3,5,4,1,2,Research & Development,6032,15,0,4
117,0,47,3,1,Medical,2,Male,99,3,Single,3,3,5,3,3,0,0,0,0,Sales,2976,19,0,1
118,0,42,4,5,Life Sciences,1,Female,44,3,Single,2,3,16,2,3,1,0,0,0,Research & Development,15992,14,0,2
119,0,42,4,4,Other,1,Male,98,2,Single,3,4,14,6,3,1,0,0,0,Research & Development,6781,23,0,2
120,1,21,2,1,Technical Degree,1,Female,99,2,Single,1,3,3,3,3,3,2,1,2,Sales,2174,11,0,3
121,0,36,4,5,Medical,4,Female,45,3,Single,4,3,7,6,3,1,0,0,0,Sales,6653,15,0,2
122,0,21,4,2,Medical,1,Male,39,3,Single,1,4,3,3,2,3,2,2,2,Sales,2610,24,0,3
123,1,33,3,3,Marketing,4,Female,34,3,Single,1,3,1,2,3,1,0,0,0,Sales,2851,13,0,2
124,1,41,2,3,Marketing,1,Male,56,3,Single,1,3,8,5,3,8,7,7,7,Sales,9355,18,0,3
125,0,50,4,3,Technical Degree,4,Male,100,2,Single,6,3,20,2,3,4,3,1,3,Research & Development,10496,15,0,4
126,0,31,2,4,Life Sciences,3,Male,42,2,Single,0,3,3,5,3,2,2,2,2,Research & Development,2657,16,0,4
127,1,21,2,3,Life Sciences,3,Female,90,4,Single,1,3,1,0,3,1,0,0,0,Sales,2716,15,0,4
128,0,29,4,3,Life Sciences,4,Male,54,3,Single,9,3,6,4,3,3,2,1,2,Research & Development,2201,16,0,4
129,0,35,2,4,Life Sciences,3,Male,97,2,Single,9,3,10,5,3,1,1,0,0,Research & Development,6540,19,0,3
130,0,28,4,4,Life Sciences,2,Male,92,3,Single,1,3,7,1,3,7,5,0,7,Sales,5253,16,0,4
131,0,49,3,3,Other,2,Male,31,2,Single,8,4,26,2,3,5,2,0,0,Research & Development,10965,24,0,3
132,1,34,4,3,Marketing,1,Male,67,4,Single,8,3,9,3,2,5,2,0,4,Sales,5304,13,0,2
133,0,55,4,3,Life Sciences,3,Female,97,3,Single,2,3,30,2,3,5,4,1,2,Research & Development,16659,13,0,3
134,1,26,1,1,Technical Degree,3,Male,73,3,Single,0,4,7,2,3,6,4,0,4,Research & Development,3102,22,0,3
135,1,30,4,3,Technical Degree,3,Male,40,3,Single,9,4,3,4,3,1,0,0,0,Research & Development,2285,23,0,3
136,0,37,2,4,Life Sciences,3,Male,49,3,Single,2,3,18,2,2,1,0,0,1,Research & Development,4197,12,0,4
137,0,25,4,2,Life Sciences,2,Female,99,2,Single,1,3,5,3,3,5,4,1,3,Sales,4487,11,0,2
138,0,30,3,3,Technical Degree,2,Female,83,3,Single,0,3,6,6,3,5,4,4,4,Sales,6577,11,0,2
139,0,30,4,3,Life Sciences,3,Female,43,1,Single,2,4,11,2,3,5,4,0,2,Research & Development,6091,20,0,3
140,1,24,2,1,Technical Degree,1,Female,62,3,Single,1,3,6,4,3,5,3,1,4,Sales,3202,16,0,2
141,1,19,4,2,Technical Degree,1,Male,52,2,Single,1,3,1,3,4,1,0,0,0,Human Resources,2564,12,0,3
142,0,30,4,3,Medical,3,Female,49,3,Single,0,3,12,2,2,11,7,6,7,Research & Development,2564,14,0,3
143,0,35,3,3,Life Sciences,4,Male,46,1,Single,0,3,6,2,3,5,4,4,3,Research & Development,4230,15,0,3
144,0,54,3,4,Life Sciences,3,Female,42,3,Single,7,3,19,3,3,1,0,0,0,Research & Development,3780,11,0,3
145,0,30,2,1,Marketing,4,Male,57,3,Single,0,3,4,3,3,3,2,1,2,Sales,2983,14,0,1
146,0,36,4,4,Medical,2,Male,32,3,Single,1,3,10,3,2,10,3,9,7,Sales,9980,14,0,4
147,1,22,3,1,Technical Degree,3,Male,99,2,Single,5,3,4,3,3,2,2,1,2,Research & Development,3894,16,0,3
148,0,55,2,5,Life Sciences,1,Female,83,3,Single,3,4,37,2,3,10,9,7,7,Sales,16835,23,0,4
149,0,41,4,2,Life Sciences,4,Male,56,3,Single,7,3,16,3,3,14,3,1,10,Sales,6230,14,0,4
150,0,40,3,3,Life Sciences,2,Female,75,3,Single,7,3,22,3,3,20,6,5,13,Research & Development,13237,15,0,3
151,0,31,4,1,Life Sciences,2,Male,77,3,Single,4,3,10,2,4,6,5,0,5,Sales,6582,13,0,3
152,1,18,2,3,Marketing,2,Male,69,3,Single,1,3,0,3,3,0,0,0,0,Sales,1878,14,0,4
153,0,41,3,4,Other,1,Female,62,2,Single,2,3,10,3,3,8,7,0,7,Research & Development,6811,17,0,1
154,0,35,3,3,Medical,1,Female,80,3,Single,1,3,5,3,3,5,4,0,3,Sales,4859,16,0,4
155,0,34,4,4,Life Sciences,4,Male,74,4,Single,1,3,10,3,3,10,7,5,7,Sales,5337,12,0,4
156,1,26,4,3,Technical Degree,3,Male,66,1,Single,1,3,1,3,1,1,0,0,0,Research & Development,2340,18,0,2
157,0,37,4,3,Technical Degree,2,Female,59,3,Single,4,3,12,3,4,6,5,1,2,Research & Development,7491,17,0,4
158,0,35,4,2,Other,1,Male,54,2,Single,4,3,9,3,3,3,2,0,2,Research & Development,3681,14,0,4
159,0,20,2,3,Life Sciences,4,Female,83,2,Single,1,3,1,0,4,1,0,0,0,Research & Development,2836,13,0,4
160,0,38,1,1,Life Sciences,3,Female,43,3,Single,3,3,8,3,2,0,0,0,0,Research & Development,2619,17,0,4
161,0,44,3,4,Life Sciences,1,Female,50,2,Single,4,3,10,1,4,2,2,0,2,Human Resources,5985,11,0,2
162,0,21,3,1,Technical Degree,3,Male,49,3,Single,1,3,3,2,3,3,2,1,2,Sales,3447,11,0,3
163,0,53,1,1,Medical,4,Female,34,3,Single,7,4,18,2,4,14,7,8,10,Sales,8381,20,0,4
164,0,35,4,4,Life Sciences,2,Male,82,1,Single,1,3,17,3,3,17,11,11,8,Research & Development,6646,13,0,2
165,0,27,4,4,Medical,1,Male,54,2,Single,0,3,5,0,3,4,2,1,1,Research & Development,2045,13,0,4
166,1,20,3,1,Medical,4,Male,32,3,Single,1,3,1,5,3,1,0,1,1,Research & Development,1009,11,0,4
167,1,33,1,3,Life Sciences,1,Male,70,3,Single,1,3,10,3,3,10,8,9,7,Research & Development,3348,11,0,1
168,0,38,4,4,Marketing,4,Female,46,2,Single,0,4,8,2,3,7,7,0,5,Sales,4028,20,0,1
169,0,37,4,2,Life Sciences,4,Male,80,4,Single,3,3,4,2,3,1,0,0,0,Research & Development,4680,17,0,1
170,0,34,2,3,Medical,4,Female,46,2,Single,1,3,9,3,4,8,7,7,7,Research & Development,8621,14,0,2
171,1,24,3,2,Life Sciences,1,Female,65,3,Single,9,3,4,3,3,2,2,2,0,Sales,4577,14,0,1
172,0,39,3,4,Technical Degree,4,Female,80,2,Single,1,3,20,4,3,20,7,11,10,Research & Development,4553,11,0,1
173,0,32,4,3,Marketing,4,Male,55,3,Single,1,3,10,2,2,10,7,0,8,Sales,5396,12,0,4
174,0,38,4,4,Life Sciences,2,Female,33,4,Single,0,3,10,4,2,9,7,1,8,Research & Development,7625,13,0,3
175,0,32,4,2,Life Sciences,3,Female,39,3,Single,3,3,10,6,3,7,7,7,7,Research & Development,11159,15,0,4
176,0,47,1,4,Marketing,4,Male,42,3,Single,2,3,20,2,3,7,7,1,7,Sales,4960,12,0,4
177,0,60,1,4,Marketing,1,Male,84,3,Single,8,3,10,1,3,2,2,2,2,Sales,5405,14,0,4
178,1,28,2,2,Life Sciences,1,Female,67,1,Single,7,3,10,4,3,7,7,3,7,Research & Development,2216,13,0,4
179,0,38,3,3,Life Sciences,3,Female,81,3,Single,4,3,10,4,4,1,0,0,0,Research & Development,7861,14,0,4
180,0,44,3,3,Medical,1,Male,49,1,Single,2,3,9,5,3,5,2,1,4,Research & Development,3708,14,0,3
181,0,29,3,3,Life Sciences,3,Male,99,3,Single,1,3,1,6,3,1,0,0,0,Sales,2642,11,0,3
182,0,34,3,2,Medical,2,Female,96,3,Single,3,3,10,2,3,5,1,4,3,Research & Development,6142,11,0,4
183,0,40,4,1,Medical,4,Female,86,2,Single,0,4,5,2,2,4,2,2,3,Research & Development,2342,20,0,4
184,0,27,1,3,Medical,4,Female,55,2,Single,8,3,9,2,1,7,6,0,7,Research & Development,6811,19,0,1
185,0,53,4,3,Life Sciences,4,Male,86,3,Single,2,3,19,4,3,2,2,2,2,Research & Development,2450,17,0,4
186,1,33,4,4,Other,4,Male,63,3,Single,1,3,10,2,2,10,9,7,8,Research & Development,2686,13,0,3
187,0,25,4,1,Medical,3,Female,32,3,Single,1,4,6,5,2,6,5,1,4,Sales,6180,23,0,2
188,0,45,3,2,Technical Degree,2,Male,46,1,Single,0,3,9,3,3,8,7,3,1,Sales,6632,13,0,1
189,0,23,3,1,Medical,1,Male,79,4,Single,1,3,2,3,3,2,2,0,2,Research & Development,3505,18,0,4
190,1,47,3,2,Life Sciences,2,Female,77,4,Single,4,3,8,2,3,5,4,1,3,Sales,6397,12,0,4
191,0,34,4,3,Other,4,Male,60,3,Single,1,4,6,5,3,6,5,1,4,Sales,6274,22,0,3
192,0,36,1,4,Life Sciences,1,Male,76,2,Single,1,3,10,1,3,10,7,0,9,Sales,7587,15,0,2
193,1,26,1,3,Technical Degree,4,Male,38,2,Single,6,3,6,2,2,4,3,1,2,Sales,5326,17,0,3
194,0,34,4,4,Life Sciences,2,Female,72,4,Single,2,3,10,2,3,4,2,1,3,Research & Development,3280,16,0,3
195,0,38,1,4,Life Sciences,1,Female,75,4,Single,6,3,17,2,3,15,7,4,12,Research & Development,5980,12,0,4
196,0,34,1,4,Medical,3,Female,86,2,Single,1,3,6,3,3,6,5,1,3,Research & Development,4381,11,0,3
197,1,33,1,3,Marketing,1,Female,69,3,Single,5,3,6,3,3,3,2,0,2,Sales,5324,15,0,3
198,1,58,2,4,Life Sciences,4,Male,31,3,Single,7,3,40,2,3,31,15,13,8,Research & Development,19246,12,0,4
199,0,35,3,4,Life Sciences,4,Female,40,4,Single,3,3,7,0,3,2,2,2,2,Research & Development,2506,13,0,3
200,1,28,3,4,Medical,3,Male,46,3,Single,6,3,5,3,2,2,2,2,1,Research & Development,4382,17,0,4
201,0,40,3,4,Medical,1,Male,51,2,Single,6,3,10,6,3,1,0,0,0,Research & Development,5094,14,0,4
202,0,30,4,3,Medical,3,Female,52,2,Single,5,4,12,4,2,0,0,0,0,Research & Development,6877,24,0,2
203,0,45,3,3,Life Sciences,2,Female,95,2,Single,1,3,1,3,3,1,0,0,0,Research & Development,2274,14,0,4
204,0,34,4,4,Life Sciences,3,Female,100,2,Single,1,3,6,3,3,5,2,1,3,Research & Development,2553,16,0,3
205,1,55,4,1,Medical,3,Male,37,3,Single,4,3,12,3,2,9,7,7,3,Sales,5160,16,0,3
206,0,35,3,3,Other,3,Male,59,3,Single,3,4,17,3,4,8,5,1,6,Research & Development,10221,21,0,2
207,0,44,2,3,Medical,4,Male,50,3,Single,9,3,10,2,2,5,2,2,3,Research & Development,5933,12,0,4
208,0,25,1,1,Medical,1,Male,65,4,Single,7,3,6,3,2,4,3,0,1,Research & Development,3424,13,0,3
209,0,35,1,1,Medical,3,Female,53,2,Single,1,3,6,3,2,6,5,1,1,Research & Development,2559,11,0,4
210,0,42,4,1,Medical,2,Male,35,3,Single,5,3,8,2,3,2,1,2,2,Research & Development,2515,14,0,4
211,0,53,4,4,Life Sciences,4,Female,72,3,Single,6,3,33,0,3,12,9,3,8,Research & Development,14275,18,0,3
212,0,37,2,2,Medical,1,Male,32,3,Single,1,3,10,2,3,10,0,0,9,Sales,7642,13,0,4
213,1,32,4,4,Life Sciences,1,Male,87,3,Single,1,4,1,2,1,1,0,0,1,Research & Development,2795,24,0,3
214,0,28,4,4,Medical,1,Male,98,3,Single,1,3,4,3,3,4,2,0,2,Sales,4908,14,0,2
215,1,20,3,3,Medical,3,Female,49,2,Single,1,3,2,3,2,2,2,0,2,Sales,2044,13,0,4
216,1,21,4,1,Other,4,Female,65,3,Single,1,3,1,3,2,1,0,0,0,Research & Development,2693,19,0,1
217,0,47,4,4,Life Sciences,4,Female,65,2,Single,1,3,3,3,2,3,2,1,2,Sales,3294,18,0,1
218,0,27,3,3,Life Sciences,2,Female,76,3,Single,1,3,1,2,3,1,1,0,0,Research & Development,2318,19,0,3
219,0,42,3,2,Medical,3,Female,68,2,Single,7,3,10,6,3,5,4,0,3,Sales,6244,17,0,1
220,0,33,1,4,Other,3,Male,100,2,Single,3,3,6,1,3,3,2,0,2,Research & Development,2799,11,0,2
221,0,36,4,4,Other,2,Male,65,3,Single,2,3,8,6,3,6,2,0,1,Research & Development,4678,18,0,3
222,0,26,1,3,Medical,3,Male,52,2,Single,1,3,7,2,3,7,7,0,7,Sales,4294,12,0,2
223,0,41,1,3,Medical,4,Male,59,3,Single,2,3,20,3,3,18,13,2,17,Research & Development,4721,13,0,3
224,0,36,3,4,Medical,3,Male,79,3,Single,4,4,16,6,3,11,8,3,9,Research & Development,2519,21,0,3
225,1,19,2,3,Other,4,Male,37,2,Single,1,3,1,3,4,1,0,0,0,Sales,2121,13,0,2
226,1,20,1,3,Technical Degree,1,Male,84,3,Single,1,3,1,2,3,1,0,0,0,Research & Development,2973,19,0,2
